Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,,,,
São Paulo,-23.62,-46.65,-3,802,,,,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2},,,
1,3,15,21.6,19.6,18.4,91.7,0.01501708,84,1.058,59.7,8,330,10,1202,445,53,66,392,,,
1,3,16,21,20,19.3,91.6,0.01586169,92,1.058,61.3,9,290,10,1002,371,44,68,326,,,
1,3,17,20.4,19.8,19.2,91.6,0.015823709,95,1.060,60.6,13,290,10,748,277,33,67,244,,,
1,3,18,19.5,19,18.5,91.6,0.015066329,96,1.065,57.7,9,330,10,458,169,20,51,149,,,
1,3,19,19.3,18.8,18.3,91.6,0.014872206,96,1.066,57.0,6,290,10,151,56,7,16,49,,,
1,3,20,19.9,18.6,17.7,91.7,0.014329757,89,1.066,56.3,5,320,10,0,0,0,0,0,,,
1,3,21,20,18.9,18.1,91.7,0.014701348,91,1.065,57.3,5,300,10,0,0,0,0,0,,,
1,3,22,20,19.5,19.0,91.8,0.015526338,96,1.065,59.4,7,300,10,0,0,0,0,0,,,
1,3,23,20,19.6,19.1,91.8,0.015668758,97,1.064,59.8,8,310,10,0,0,0,0,0,,,
1,3,24,18,17.9,17.6,91.9,0.014145219,99,1.075,53.8,9,190,10,0,0,0,0,0,,,
1,4,1,17,16.6,16.1,91.9,0.012877026,96,1.081,49.6,4,200,10,0,0,0,0,0,,,
1,4,2,17.1,16.6,16.1,91.9,0.012835471,95,1.081,49.6,2,210,10,0,0,0,0,0,,,
1,4,3,16.9,16.5,16.0,91.8,0.012807042,96,1.081,49.3,3,210,10,0,0,0,0,0,,,
1,4,4,16.6,16,15.4,91.8,0.012308962,94,1.082,47.8,5,200,10,0,0,0,0,0,,,
1,4,5,16,15.4,14.8,91.8,0.011826776,94,1.086,45.9,4,190,10,0,0,0,0,0,,,
1,4,6,15.8,15.3,14.8,91.9,0.011776172,95,1.088,45.6,4,200,10,26,10,1,3,8,,,
1,4,7,15.5,15.2,14.8,92.0,0.011767642,97,1.090,45.3,5,210,10,280,104,12,29,91,,,
1,4,8,16,15.5,15.0,92.0,0.011920475,95,1.088,46.2,2,180,10,582,215,26,46,190,,,
1,4,9,16.5,16,15.5,92.1,0.012308738,95,1.086,47.7,2,180,10,860,318,38,53,280,,,
1,4,10,16.6,16,15.4,92.1,0.012267252,94,1.086,47.6,2,180,10,1093,404,48,56,356,,,
1,4,11,17.2,16.6,16.0,92.1,0.012765018,94,1.083,49.5,2,150,10,1267,469,56,59,413,,,
1,4,12,16.7,16.2,15.7,92.1,0.01247274,95,1.085,48.3,2,160,10,1369,506,60,60,446,,,
1,4,13,17.2,16.6,16.0,92.1,0.012765018,94,1.083,49.5,2,100,10,1392,515,61,62,454,,,
1,4,14,17.6,16.6,15.8,92.1,0.012598891,91,1.082,49.5,3,120,10,1336,494,59,64,435,,,
1,4,15,19.3,17.1,15.7,92.0,0.012543532,81,1.074,51.1,3,110,10,1203,445,53,67,392,,,
1,4,16,18.1,16.6,15.6,92.0,0.012405796,87,1.079,49.5,4,120,10,1003,371,44,69,327,,,
1,4,17,18.3,16.7,15.6,92.0,0.012448977,86,1.078,49.8,4,120,10,749,277,33,67,244,,,
1,4,18,18,16.5,15.5,91.9,0.012335976,87,1.078,49.3,5,140,10,459,170,20,52,150,,,
1,4,19,17.6,16.3,15.4,91.9,0.012251824,88,1.080,48.6,6,140,10,153,57,7,16,50,,,
1,4,20,17.5,16.2,15.3,92.0,0.012154911,88,1.082,48.3,4,130,10,0,0,0,0,0,,,
1,4,21,16.6,15.7,14.9,92.0,0.01191412,92,1.086,46.8,3,130,10,0,0,0,0,0,,,
1,4,22,16,15,14.2,92.2,0.011297187,91,1.091,44.6,3,130,10,0,0,0,0,0,,,
1,4,23,16,15.1,14.3,92.2,0.011415517,91,1.091,44.9,3,120,8,0,0,0,0,0,,,
1,4,24,15.8,15,14.3,92.2,0.01137992,92,1.092,44.6,2,90,5,0,0,0,0,0,,,
1,5,1,16,15.5,15.0,92.1,0.011907055,95,1.089,46.1,0,0,6,0,0,0,0,0,,,
1,5,2,16.1,15.5,14.9,92.1,0.011865618,94,1.089,46.1,0,0,10,0,0,0,0,0,,,
1,5,3,16,15.7,15.3,92.1,0.012149245,97,1.089,46.7,3,110,10,0,0,0,0,0,,,
1,5,4,15.8,15.7,15.4,92.0,0.012245804,99,1.088,46.8,0,0,10,0,0,0,0,0,,,
1,5,5,16,15.8,15.4,92.0,0.012284777,98,1.087,47.1,2,60,10,0,0,0,0,0,,,
1,5,6,16,15.7,15.3,92.0,0.012162847,97,1.087,46.8,2,80,10,25,9,1,3,8,,,
1,5,7,16.5,16.2,15.8,92.1,0.012555771,97,1.086,48.3,3,70,10,277,103,12,29,90,,,
1,5,8,16.6,16.2,15.7,92.1,0.012514253,96,1.086,48.3,3,40,10,580,214,26,47,189,,,
1,5,9,17.6,16.7,16.0,92.1,0.012725057,92,1.082,49.8,3,60,10,857,317,38,53,279,,,
1,5,10,19,17.5,16.5,92.2,0.013155399,87,1.077,52.4,3,60,10,1091,404,48,57,356,,,
1,5,11,19.6,18.5,17.7,92.2,0.014236297,90,1.073,55.7,4,360,10,1265,468,56,59,412,,,
1,5,12,21.6,19,17.5,92.2,0.01408798,79,1.066,57.4,5,340,10,1368,506,60,60,446,,,
1,5,13,22.4,19.6,18.1,92.2,0.014595004,78,1.062,59.5,5,350,10,1392,515,61,62,454,,,
1,5,14,21.4,20,19.1,92.2,0.015585562,88,1.064,61.0,7,300,10,1336,494,59,64,436,,,
1,5,15,21.4,20,19.1,92.1,0.01560356,88,1.063,61.0,7,320,10,1204,445,53,66,392,,,
1,5,16,21,19.6,18.7,92.1,0.015197384,88,1.065,59.6,7,330,10,1004,372,44,68,327,,,
1,5,17,20.8,19.4,18.5,92.1,0.014997775,88,1.066,58.9,7,320,10,751,278,33,66,245,,,
1,5,18,20,19,18.3,92.0,0.014789354,91,1.068,57.5,7,350,10,461,170,20,52,150,,,
1,5,19,19.9,18.6,17.7,92.0,0.014280151,89,1.069,56.1,4,350,10,154,57,7,16,50,,,
1,5,20,19.7,18.7,18.0,92.1,0.014483924,91,1.071,56.4,3,270,10,0,0,0,0,0,,,
1,5,21,19.1,18.4,17.8,92.2,0.014309297,94,1.075,55.4,3,260,10,0,0,0,0,0,,,
1,5,22,18.6,18,17.4,92.2,0.013980772,95,1.077,54.0,1,300,10,0,0,0,0,0,,,
